site_format,plot,year,specialist_abundance,generalist_abundance,other_abundance,total_abundance,specialist_biomass,generalist_biomass,other_biomass,total_biomass,specialist_family_abundance,generalist_family_abundance,other_family_abundance,total_family_abundance,specialist_family_biomass,generalist_family_biomass,other_family_biomass,total_family_biomass,total_basal,genera_richness,keystone_basal,productivity_index,productivity,lat_fixed,long_fixed,imperv_1km_mean,imperv_500m_mean,prop_keystone,year_factor,rep,scaled_imperv,scaled_basal,scaled_genera,scaled_keystone,year_binary
 Creek Road,6,2017,10,91,18,119,31.17225598,3508.677184,0,3539.84944,13,88,18,119,62.70298057,3477.146459,0,3539.84944,6.316733177,10,3.506035205,2288.285171,362.2576903,39.79105,-75.6428,0.717647059,0.654109589,0.555039307,1,11,-0.987383347,0.413960326,-1.321966263,1.103507728,0
 Creek Road,6,2018,15,159,15,189,296.0952345,3072.571778,0,3368.667012,20,154,15,189,413.5017731,2955.165239,0,3368.667012,6.316733177,10,3.506035205,2288.285171,362.2576903,39.79105,-75.6428,0.717647059,0.654109589,0.555039307,2,12,-0.987383347,0.413960326,-1.321966263,1.103507728,1
 Creek Road,7,2017,4,49,13,66,131.7728257,720.9664559,84.91496748,937.6542491,5,48,13,66,136.9653096,715.773972,84.91496748,937.6542491,5.864048694,13,3.692618333,2292.063527,390.8670692,39.79166,-75.6416,0.857429719,0.707762557,0.629704582,1,13,-0.980324884,0.2548995,-0.778071572,1.259454209,0
 Creek Road,7,2018,26,163,38,227,315.2190148,5078.204354,0,5393.423368,35,154,38,227,881.6517873,4511.771581,0,5393.423368,5.864048694,13,3.692618333,2292.063527,390.8670692,39.79166,-75.6416,0.857429719,0.707762557,0.629704582,2,14,-0.980324884,0.2548995,-0.778071572,1.259454209,1
 Creek Road,8,2017,9,52,12,73,74.95332843,1115.328497,51.50213266,1241.783959,10,51,12,73,80.14581232,1110.136014,51.50213266,1241.783959,11.86416261,18,5.003616052,3007.282449,253.4761658,39.79116,-75.6412,0.846681922,0.722669735,0.421742032,1,15,-0.980867605,2.363173828,0.12841958,2.355188227,0
 Creek Road,8,2018,13,110,24,147,157.5908354,1934.325989,0,2091.916824,22,101,24,147,179.1716869,1912.745138,0,2091.916824,11.86416261,18,5.003616052,3007.282449,253.4761658,39.79116,-75.6412,0.846681922,0.722669735,0.421742032,2,16,-0.980867605,2.363173828,0.12841958,2.355188227,1
 Ecology Woods,9,2017,25,111,45,181,262.9413366,2414.539894,0,2677.481231,27,109,45,181,329.3212874,2348.159944,0,2677.481231,4.977047961,21,2.648294456,1391.99521,279.6829006,39.663008,-75.743595,27.48724563,9.618119266,0.532101454,1,17,0.364373751,-0.056768062,0.672314271,0.38660662,0
 Ecology Woods,9,2018,150,99,15,432,196.0983471,1453.094272,0,1649.192619,322,95,15,432,257.8743069,1391.318312,0,1649.192619,4.977047961,21,2.648294456,1391.99521,279.6829006,39.663008,-75.743595,27.48724563,9.618119266,0.532101454,2,18,0.364373751,-0.056768062,0.672314271,0.38660662,1
 Ecology Woods,10,2017,1,17,6,24,2.269505338,158.2196565,0,160.4891619,1,17,6,24,2.269505338,158.2196565,0,160.4891619,3.820973593,17,1.172379175,634.8953532,166.1606231,39.6623,-75.743457,28.16051502,12.38215103,0.306827343,1,19,0.398371148,-0.462980668,-0.052878651,-0.846965764,0
 Ecology Woods,10,2018,86,143,31,260,338.3050704,1617.607123,0,1955.912194,86,143,31,260,338.3050704,1617.607123,0,1955.912194,3.820973593,17,1.172379175,634.8953532,166.1606231,39.6623,-75.743457,28.16051502,12.38215103,0.306827343,2,20,0.398371148,-0.462980668,-0.052878651,-0.846965764,1
 Ecology Woods,11,2017,15,50,46,111,234.4160823,874.9375127,0,1109.353595,17,48,46,111,240.4999494,868.8536456,0,1109.353595,4.6474049,18,2.563762815,1319.236769,283.8652533,39.661397,-75.744482,30.8769671,19.02186421,0.551654713,1,21,0.535541056,-0.17259553,0.12841958,0.315954938,0
 Ecology Woods,11,2018,54,138,29,221,187.6706093,1638.558955,0,1826.229564,57,135,29,221,197.4538376,1628.775727,0,1826.229564,4.6474049,18,2.563762815,1319.236769,283.8652533,39.661397,-75.744482,30.8769671,19.02186421,0.551654713,2,22,0.535541056,-0.17259553,0.12841958,0.315954938,1
 Ecology Woods,12,2017,21,58,56,135,152.1289043,766.9289517,0,919.057856,24,55,56,135,158.2284381,760.8294179,0,919.057856,3.761143945,19,1.591361973,853.5890175,226.9493085,39.662158,-75.745655,31.7167382,21.03325688,0.423105841,1,23,0.57794612,-0.484003154,0.30971781,-0.496779262,0
 Ecology Woods,12,2018,43,134,49,226,294.8109216,2157.883335,0,2452.694256,48,129,49,226,322.549505,2130.144751,0,2452.694256,3.761143945,19,1.591361973,853.5890175,226.9493085,39.662158,-75.745655,31.7167382,21.03325688,0.423105841,2,24,0.57794612,-0.484003154,0.30971781,-0.496779262,1
 Motorpool,13,2017,7,33,10,50,61.97524329,360.9999936,0,422.9752369,8,32,10,50,75.14436364,347.8308733,0,422.9752369,6.483320325,14,2.666170177,1125.250752,173.5608755,39.67681,-75.7395,43.61072863,46.22997712,0.4112353,1,25,1.178544816,0.472494449,-0.596773341,0.401547177,0
 Motorpool,13,2018,23,92,22,137,250.6353072,916.223072,0,1166.858379,30,85,22,137,278.2782092,888.58017,0,1166.858379,6.483320325,14,2.666170177,1125.250752,173.5608755,39.67681,-75.7395,43.61072863,46.22997712,0.4112353,2,26,1.178544816,0.472494449,-0.596773341,0.401547177,1
 Motorpool,14,2017,6,44,9,59,8.004826057,390.5008308,0,398.5056569,11,39,9,59,25.76469084,372.7409661,0,398.5056569,5.480641489,16,1.189539636,540.8741431,98.68810872,39.67694,-75.739,44.20492978,46.36582569,0.217043869,1,27,1.208549585,0.120180797,-0.234176881,-0.832623023,0
 Motorpool,14,2018,45,144,35,224,116.0831624,1188.630362,0,1304.713525,47,142,35,224,117.5413902,1187.172134,0,1304.713525,5.480641489,16,1.189539636,540.8741431,98.68810872,39.67694,-75.739,44.20492978,46.36582569,0.217043869,2,28,1.208549585,0.120180797,-0.234176881,-0.832623023,1
 Motorpool,15,2017,12,47,11,70,82.31292521,596.3935731,0,678.7064983,15,44,11,70,183.7506455,494.9558527,0,678.7064983,3.572788885,9,0.899210798,406.4527537,113.7634399,39.67614,-75.7387,40.81781724,42.50229358,0.25168316,1,29,1.03751402,-0.55018592,-1.503264493,-1.075280336,0
 Motorpool,15,2018,29,60,25,114,72.74760141,768.5775369,0,841.3251383,29,60,25,114,72.74760141,768.5775369,0,841.3251383,3.572788885,9,0.899210798,406.4527537,113.7634399,39.67614,-75.7387,40.81781724,42.50229358,0.25168316,2,30,1.03751402,-0.55018592,-1.503264493,-1.075280336,1
 Motorpool,16,2017,16,30,15,61,55.05586606,237.571962,0,292.6278281,17,29,15,61,58.18746473,234.4403634,0,292.6278281,4.551945639,18,1.305508957,552.1262306,121.2945572,39.67579,-75.7387,39.11432665,40.51775487,0.286802405,1,31,0.951494594,-0.206137278,0.12841958,-0.735695676,0
 Motorpool,16,2018,24,74,32,130,84.96366481,1638.840128,0,1723.803792,26,72,32,130,103.325269,1620.478523,0,1723.803792,4.551945639,18,1.305508957,552.1262306,121.2945572,39.67579,-75.7387,39.11432665,40.51775487,0.286802405,2,32,0.951494594,-0.206137278,0.12841958,-0.735695676,1
 Chrysler,17,2017,7,20,4,31,51.30817238,168.5674019,0,219.8755743,7,20,4,31,51.30817238,168.5674019,0,219.8755743,2.859045271,23,2.754603674,868.3402351,303.716854,39.65944,-75.7561,45.7847739,54.75314286,0.963469765,1,33,1.288325361,-0.800975715,1.034910731,0.475460037,0
 Chrysler,17,2018,22,74,18,114,149.1389535,1466.8988,0,1616.037753,23,73,18,114,154.3314374,1461.706316,0,1616.037753,2.859045271,23,2.754603674,868.3402351,303.716854,39.65944,-75.7561,45.7847739,54.75314286,0.963469765,2,34,1.288325361,-0.800975715,1.034910731,0.475460037,1
 Chrysler,18,2017,4,23,23,50,42.25969585,446.4689505,0,488.7286463,4,23,23,50,42.25969585,446.4689505,0,488.7286463,3.899303209,20,1.55571079,562.4104935,144.2335883,39.66031,-75.7555,46.54998568,63.93577982,0.398971485,1,35,1.326965479,-0.435457804,0.49101604,-0.526576579,0
 Chrysler,18,2018,15,41,19,75,59.18434301,1457.654886,0,1516.839229,19,37,19,75,71.56525202,1445.273977,0,1516.839229,3.899303209,20,1.55571079,562.4104935,144.2335883,39.66031,-75.7555,46.54998568,63.93577982,0.398971485,2,36,1.326965479,-0.435457804,0.49101604,-0.526576579,1
 Chrysler,19,2017,2,13,10,25,31.05980059,108.5583376,0,139.6181382,2,13,10,25,31.05980059,108.5583376,0,139.6181382,3.927640942,19,2.405750509,846.4521808,215.5115993,39.66047,-75.7549,46.1793915,65.03784404,0.612517932,1,37,1.308251963,-0.425500707,0.30971781,0.183887996,0
 Chrysler,19,2018,42,39,14,95,121.1229037,789.7615103,0,910.8844139,44,37,14,95,126.3153876,784.5690264,0,910.8844139,3.927640942,19,2.405750509,846.4521808,215.5115993,39.66047,-75.7549,46.1793915,65.03784404,0.612517932,2,38,1.308251963,-0.425500707,0.30971781,0.183887996,1
 Chrysler,20,2017,5,21,14,40,34.8732628,170.0315663,13.26635626,218.1711854,5,21,14,40,34.8732628,170.0315663,13.26635626,218.1711854,5.744853049,14,2.887526962,974.3344113,169.6012767,39.65979,-75.7555,45.76737507,58.896,0.502628516,1,39,1.28744679,0.213017442,-0.596773341,0.586557536,0
 Chrysler,20,2018,24,59,17,100,179.3430678,650.2590726,0,829.6021404,25,58,17,100,180.3067045,649.2954359,0,829.6021404,5.744853049,14,2.887526962,974.3344113,169.6012767,39.65979,-75.7555,45.76737507,58.896,0.502628516,2,40,1.28744679,0.213017442,-0.596773341,0.586557536,1
: Tallamy Homestead,21,2017,10,46,7,63,143.0587634,734.890048,52.42505186,930.3738632,17,39,7,63,251.0616561,626.8871553,52.42505186,930.3738632,1.78866519,29,1.426437211,686.8827697,384.0197559,39.72954,-75.8993,0.851320321,1.014874142,0.797486986,1,41,-0.980633384,-1.177077715,2.122700113,-0.634623646,0
: Tallamy Homestead,21,2018,25,116,17,158,182.110884,2198.960771,0,2381.071655,37,104,17,158,1038.172448,1342.899207,0,2381.071655,1.78866519,29,1.426437211,686.8827697,384.0197559,39.72954,-75.8993,0.851320321,1.014874142,0.797486986,2,42,-0.980633384,-1.177077715,2.122700113,-0.634623646,1
: Tallamy Homestead,22,2017,19,120,16,155,293.5022511,1441.550179,70.79616798,1805.848598,24,115,16,155,381.1905513,1353.861879,70.79616798,1805.848598,1.289413539,24,0.574342835,347.0406945,269.1461537,39.72958,-75.8986,0.91153736,1.03908046,0.445429505,1,43,-0.977592666,-1.352500958,1.216208962,-1.346805506,0
: Tallamy Homestead,22,2018,13,103,12,128,82.98170477,2513.846505,0,2596.82821,22,94,12,128,146.3885692,2450.439641,0,2596.82821,1.289413539,24,0.574342835,347.0406945,269.1461537,39.72958,-75.8986,0.91153736,1.03908046,0.445429505,2,44,-0.977592666,-1.352500958,1.216208962,-1.346805506,1
: Tallamy Homestead,23,2017,14,75,11,100,295.2375225,1184.381055,74.11536158,1553.733939,19,70,11,100,396.4536509,1083.164926,74.11536158,1553.733939,2.634154623,31,1.821088293,893.1920201,339.0810897,39.7299,-75.8983,0.919816724,1.154816514,0.691336901,1,45,-0.977174591,-0.879996078,2.485296574,-0.304773632,0
: Tallamy Homestead,23,2018,15,128,16,159,143.2162572,2148.037212,0,2291.253469,23,120,16,159,234.2454852,2057.007984,0,2291.253469,2.634154623,31,1.821088293,893.1920201,339.0810897,39.7299,-75.8983,0.919816724,1.154816514,0.691336901,2,46,-0.977174591,-0.879996078,2.485296574,-0.304773632,1
: Tallamy Homestead,24,2017,18,128,28,174,96.16982051,1705.060739,160.7782187,1962.008779,24,122,28,174,253.123482,1548.107078,160.7782187,1962.008779,2.276454353,15,1.82993023,737.2992905,323.8805511,39.73001,-75.8977,0.934116299,1.215102975,0.803851054,1,47,-0.97645252,-1.005682074,-0.415475111,-0.297383526,0
: Tallamy Homestead,24,2018,22,202,38,262,239.7619833,3242.29946,0,3482.061443,41,183,38,262,843.3074766,2638.753967,0,3482.061443,2.276454353,15,1.82993023,737.2992905,323.8805511,39.73001,-75.8977,0.934116299,1.215102975,0.803851054,2,48,-0.97645252,-1.005682074,-0.415475111,-0.297383526,1
