Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL,variance,ID,site_format,plotID,year,scaled_imperv,scaled_basal,scaled_genera,scaled_keystone,Site,year_factor,rep,year_binary
plot.21.2017,Species richness,7,20.5,7.718356755,7,35.62770126,59.573031,plot.21,: Tallamy Homestead,21,2017,-0.980633384,-1.177077715,2.122700113,-0.634623646,: Tallamy Homestead,1,27,0
plot.21.2018,Species richness,13,23.24,15.27265453,13,53.17385282,233.2539763,plot.21,: Tallamy Homestead,21,2018,-0.980633384,-1.177077715,2.122700113,-0.634623646,: Tallamy Homestead,2,28,1
plot.22.2017,Species richness,9,11.52631579,6.077368461,9,23.43773909,36.93440741,plot.22,: Tallamy Homestead,22,2017,-0.977592666,-1.352500958,1.216208962,-1.346805506,: Tallamy Homestead,1,29,0
plot.22.2018,Species richness,4,4.461538462,1.332060536,4,7.072329138,1.774385273,plot.22,: Tallamy Homestead,22,2018,-0.977592666,-1.352500958,1.216208962,-1.346805506,: Tallamy Homestead,2,30,1
plot.23.2017,Species richness,6,13.42857143,5.862696812,6,24.91924603,34.37121391,plot.23,: Tallamy Homestead,23,2017,-0.977174591,-0.879996078,2.485296574,-0.304773632,: Tallamy Homestead,1,31,0
plot.23.2018,Species richness,7,14.46666667,5.675098481,7,25.5896553,32.20674277,plot.23,: Tallamy Homestead,23,2018,-0.977174591,-0.879996078,2.485296574,-0.304773632,: Tallamy Homestead,2,32,1
plot.24.2017,Species richness,10,18.5,9.997609094,10,38.09495376,99.95218759,plot.24,: Tallamy Homestead,24,2017,-0.97645252,-1.005682074,-0.415475111,-0.297383526,: Tallamy Homestead,1,33,0
plot.24.2018,Species richness,12,23.69318182,10.50054424,12,44.27387034,110.2614293,plot.24,: Tallamy Homestead,24,2018,-0.97645252,-1.005682074,-0.415475111,-0.297383526,: Tallamy Homestead,2,34,1
plot.3.2017,Species richness,4,4.142857143,1.846146125,4,7.761237058,3.408255514,plot.3, Ramsey Road,3,2017,-0.885043207,0.350343988,0.12841958,0.414358808, Ramsey Road,1,35,0
plot.3.2018,Species richness,7,12.57142857,5.220139932,7,22.80271483,27.24986091,plot.3, Ramsey Road,3,2018,-0.885043207,0.350343988,0.12841958,0.414358808, Ramsey Road,2,36,1
plot.4.2017,Species richness,3,3.857142857,1.097681258,3,6.008558589,1.204904143,plot.4, Ramsey Road,4,2017,-0.910628912,2.942530414,-1.140668032,-0.650276026, Ramsey Road,1,37,0
plot.4.2018,Species richness,7,7.622222222,2.902203952,7,13.31043744,8.422787776,plot.4, Ramsey Road,4,2018,-0.910628912,2.942530414,-1.140668032,-0.650276026, Ramsey Road,2,38,1
plot.5.2017,Species richness,10,46.81818182,16.28663119,14.89697125,78.73939239,265.2543557,plot.5, Creek Road,5,2017,-0.983303143,0.708856446,-1.321966263,2.276008137, Creek Road,1,39,0
plot.5.2018,Species richness,15,58.90243902,24.85019936,15,107.6079348,617.5324082,plot.5, Creek Road,5,2018,-0.983303143,0.708856446,-1.321966263,2.276008137, Creek Road,2,40,1
plot.6.2017,Species richness,7,9.4,4.320168486,7,17.86737464,18.66385574,plot.6, Creek Road,6,2017,-0.987383347,0.413960326,-1.321966263,1.103507728, Creek Road,1,41,0
plot.6.2018,Species richness,9,9.7,4.853521212,9,19.21272677,23.55666815,plot.6, Creek Road,6,2018,-0.987383347,0.413960326,-1.321966263,1.103507728, Creek Road,2,42,1
plot.7.2017,Species richness,3,4.5,2.160270279,3,8.734051943,4.666767677,plot.7, Creek Road,7,2017,-0.980324884,0.2548995,-0.778071572,1.259454209, Creek Road,1,43,0
plot.7.2018,Species richness,11,34.55769231,16.98551008,11,67.84868032,288.5075526,plot.7, Creek Road,7,2018,-0.980324884,0.2548995,-0.778071572,1.259454209, Creek Road,2,44,1
plot.8.2017,Species richness,6,7.333333333,3.302352096,6,13.80582451,10.90552937,plot.8, Creek Road,8,2017,-0.980867605,2.363173828,0.12841958,2.355188227, Creek Road,1,45,0
plot.8.2018,Species richness,8,19.53846154,9.207378761,8,37.5845923,84.77582366,plot.8, Creek Road,8,2018,-0.980867605,2.363173828,0.12841958,2.355188227, Creek Road,2,46,1
plot.9.2017,Species richness,9,11.56,5.583379278,9,22.5032223,31.17412416,plot.9, Ecology Woods,9,2017,0.364373751,-0.056768062,0.672314271,0.38660662, Ecology Woods,1,47,0
plot.9.2018,Species richness,12,14.49213836,6.081249274,12,26.41116792,36.98159273,plot.9, Ecology Woods,9,2018,0.364373751,-0.056768062,0.672314271,0.38660662, Ecology Woods,2,48,1
