Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL,variance,ID,site_format,plotID,year,scaled_imperv,scaled_basal,scaled_genera,scaled_keystone,Site,year_factor,rep,year_binary
plot.16.2017,Species richness,13,40.06666667,19.29774396,13,77.88954981,372.402922,plot.16, Motorpool,16,2017,0.951494594,-0.206137278,0.12841958,-0.735695676, Motorpool,1,15,0
plot.16.2018,Species richness,39,128.8767123,59.20708041,39,244.9204576,3505.478371,plot.16, Motorpool,16,2018,0.951494594,-0.206137278,0.12841958,-0.735695676, Motorpool,2,16,1
plot.17.2017,Species richness,12,27.2,12.66396976,12,52.02092464,160.3761302,plot.17, Chrysler,17,2017,1.288325361,-0.800975715,1.034910731,0.475460037, Chrysler,1,17,0
plot.17.2018,Species richness,43,137.7652778,44.56006535,50.42915455,225.101401,1985.599424,plot.17, Chrysler,17,2018,1.288325361,-0.800975715,1.034910731,0.475460037, Chrysler,2,18,1
plot.18.2017,Species richness,16,35.28985507,22.1732698,16,78.74866531,491.6538938,plot.18, Chrysler,18,2017,1.326965479,-0.435457804,0.49101604,-0.526576579, Chrysler,1,19,0
plot.18.2018,Species richness,27,98.61538462,63.9096119,27,223.8759222,4084.438493,plot.18, Chrysler,18,2018,1.326965479,-0.435457804,0.49101604,-0.526576579, Chrysler,2,20,1
plot.19.2017,Species richness,7,10.69230769,5.918615195,7,22.29258031,35.03000583,plot.19, Chrysler,19,2017,1.308251963,-0.425500707,0.30971781,0.183887996, Chrysler,1,21,0
plot.19.2018,Species richness,26,90.95726496,63.0077297,26,214.4501459,3969.974002,plot.19, Chrysler,19,2018,1.308251963,-0.425500707,0.30971781,0.183887996, Chrysler,2,22,1
plot.2.2017,Species richness,23,38.91452991,15.87338218,23,70.0257873,251.9642618,plot.2, Ramsey Road,2,2017,-0.922195616,0.878348935,-0.596773341,-0.612793946, Ramsey Road,1,23,0
plot.2.2018,Species richness,56,111.239899,21.04497171,69.99251238,152.4872856,442.8908342,plot.2, Ramsey Road,2,2018,-0.922195616,0.878348935,-0.596773341,-0.612793946, Ramsey Road,2,24,1
plot.20.2017,Species richness,8,22.28571429,8.189057434,8,38.33597192,67.06066166,plot.20, Chrysler,20,2017,1.28744679,0.213017442,-0.596773341,0.586557536, Chrysler,1,25,0
plot.20.2018,Species richness,30,102.2542373,50.80077826,30,201.8219331,2580.719071,plot.20, Chrysler,20,2018,1.28744679,0.213017442,-0.596773341,0.586557536, Chrysler,2,26,1
plot.21.2017,Species richness,25,35.65217391,12.11716696,25,59.40138474,146.8257351,plot.21,: Tallamy Homestead,21,2017,-0.980633384,-1.177077715,2.122700113,-0.634623646,: Tallamy Homestead,1,27,0
plot.21.2018,Species richness,58,119.6765889,31.22455017,58.47759514,180.8755827,974.9725331,plot.21,: Tallamy Homestead,21,2018,-0.980633384,-1.177077715,2.122700113,-0.634623646,: Tallamy Homestead,2,28,1
plot.22.2017,Species richness,51,140.25,54.37406882,51,246.8212166,2956.539361,plot.22,: Tallamy Homestead,22,2017,-0.977592666,-1.352500958,1.216208962,-1.346805506,: Tallamy Homestead,1,29,0
plot.22.2018,Species richness,54,111.2333333,32.86128506,54,175.6402685,1079.864056,plot.22,: Tallamy Homestead,22,2018,-0.977592666,-1.352500958,1.216208962,-1.346805506,: Tallamy Homestead,2,30,1
plot.23.2017,Species richness,37,53.19030303,12.42587214,37,77.5445649,154.4022985,plot.23,: Tallamy Homestead,23,2017,-0.977174591,-0.879996078,2.485296574,-0.304773632,: Tallamy Homestead,1,31,0
plot.23.2018,Species richness,71,174.9026485,39.65693362,97.17648689,252.6288102,1572.672384,plot.23,: Tallamy Homestead,23,2018,-0.977174591,-0.879996078,2.485296574,-0.304773632,: Tallamy Homestead,2,32,1
plot.24.2017,Species richness,56,81.92916667,13.83875897,56,109.0526358,191.5112499,plot.24,: Tallamy Homestead,24,2017,-0.97645252,-1.005682074,-0.415475111,-0.297383526,: Tallamy Homestead,1,33,0
plot.24.2018,Species richness,69,116.9270315,18.53010096,80.608701,153.245362,343.3646415,plot.24,: Tallamy Homestead,24,2018,-0.97645252,-1.005682074,-0.415475111,-0.297383526,: Tallamy Homestead,2,34,1
plot.3.2017,Species richness,30,53.66810345,22.85304831,30,98.45925508,522.2618172,plot.3, Ramsey Road,3,2017,-0.885043207,0.350343988,0.12841958,0.414358808, Ramsey Road,1,35,0
plot.3.2018,Species richness,65,169.9327869,76.09181356,65,319.070001,5789.964091,plot.3, Ramsey Road,3,2018,-0.885043207,0.350343988,0.12841958,0.414358808, Ramsey Road,2,36,1
plot.4.2017,Species richness,20,31.68421053,12.57646753,20,56.33363394,158.1675356,plot.4, Ramsey Road,4,2017,-0.910628912,2.942530414,-1.140668032,-0.650276026, Ramsey Road,1,37,0
plot.4.2018,Species richness,69,142.2242593,49.18263921,69,238.6204608,2418.932,plot.4, Ramsey Road,4,2018,-0.910628912,2.942530414,-1.140668032,-0.650276026, Ramsey Road,2,38,1
plot.5.2017,Species richness,45,224.1118421,121.3381742,45,461.9302935,14722.95252,plot.5, Creek Road,5,2017,-0.983303143,0.708856446,-1.321966263,2.276008137, Creek Road,1,39,0
plot.5.2018,Species richness,93,184.8216829,26.72370098,132.4441915,237.1991744,714.1561942,plot.5, Creek Road,5,2018,-0.983303143,0.708856446,-1.321966263,2.276008137, Creek Road,2,40,1
plot.6.2017,Species richness,52,112.5617978,26.99667845,59.64928029,165.4743152,728.8206474,plot.6, Creek Road,6,2017,-0.987383347,0.413960326,-1.321966263,1.103507728, Creek Road,1,41,0
plot.6.2018,Species richness,65,113.5794414,18.45729878,77.40380053,149.7550823,340.6718782,plot.6, Creek Road,6,2018,-0.987383347,0.413960326,-1.321966263,1.103507728, Creek Road,2,42,1
plot.7.2017,Species richness,30,57.97619048,29.28857475,30,115.3807422,857.8206111,plot.7, Creek Road,7,2017,-0.980324884,0.2548995,-0.778071572,1.259454209, Creek Road,1,43,0
plot.7.2018,Species richness,72,139.4299198,21.26111283,97.75890436,181.1009352,452.0349186,plot.7, Creek Road,7,2018,-0.980324884,0.2548995,-0.778071572,1.259454209, Creek Road,2,44,1
plot.8.2017,Species richness,28,48.91503268,17.19094014,28,82.60865622,295.5284231,plot.8, Creek Road,8,2017,-0.980867605,2.363173828,0.12841958,2.355188227, Creek Road,1,45,0
plot.8.2018,Species richness,58,98.4587156,23.31796497,58,144.1610871,543.7274904,plot.8, Creek Road,8,2018,-0.980867605,2.363173828,0.12841958,2.355188227, Creek Road,2,46,1
plot.9.2017,Species richness,58,149.7298701,32.77986844,85.48250857,213.9772317,1074.519775,plot.9, Ecology Woods,9,2017,0.364373751,-0.056768062,0.672314271,0.38660662, Ecology Woods,1,47,0
plot.9.2018,Species richness,53,103.6828283,25.22641361,54.23996614,153.1256904,636.3719437,plot.9, Ecology Woods,9,2018,0.364373751,-0.056768062,0.672314271,0.38660662, Ecology Woods,2,48,1
