Site,plot,date,count,species,species_good,foodtype_broad,foodtype_specific,hostplants_genera,hostplants_family,wing_low,wing_high,exotic,specialization_distance,specialization_notes,gbif_totalCount,sampleSize,area_km2,minFlight,maxFlight,lengthFlight,gbif_notes,date_format,year,month,specialist,specialist_family
Ramsey Rd.,1,6/30/2017,1,"Phaecasiophora confixana (Walker, 1863)",Phaecasiophora confixana,plants,woody,1,1,18,18,0,0,,215,215,169.2059494,5,8,4,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,1,6/30/2017,1,"Tinea mandarinella Dietz, 1905",Tinea mandarinella,unknown,unknown,NA,NA,7.5,7.5,0,NA,unknown host plant,256,256,138.0197175,5,6,2,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,1,6/30/2017,1,"Aphomia sociella (Linnaeus, 1758)",Aphomia sociella,other,detritivore,NA,NA,30,30,1,NA,detritivore,29235,29235,10545.79424,3,8,6,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,1,6/30/2017,1,"Homosetia bifasciella (Chambers, 1876)",Homosetia bifasciella,unknown,unknown,NA,NA,11,11,0,NA,unknown host plant,25,25,284.0145809,8,8,1,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,1,6/30/2017,2,"Chionodes thoraceochrella (Chambers, 1872)",Chionodes thoraceochrella,plants,woody,4,4,10,12,0,242.387948,,838,838,707.6196973,6,11,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Pseudeustrotia carneola (Guenée, 1852) ",Pseudeustrotia carneola,plants,plants,6,4,20,24,0,217.0071168,0,3781,3781,828.2417292,5,10,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,3,"Nemoria bistriaria Hübner, 1818 ",Nemoria bistriaria,plants,plants,10,7,22,25,0,224.839981,0,1869,1869,867.8888922,3,10,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,2,"Acronicta retardata (Walker, 1861)",Acronicta retardata,plants,woody,4,4,25,32,0,216.50414,,629,629,561.8468871,5,8,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Acharia stimulea (Clemens, 1860)",Acharia stimulea,plants,plants,99,57,26,43,0,263.6785247,,1923,1923,2044.802795,4,9,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Acronicta hasta Guenée, 1852",Acronicta hasta,plants,woody,2,2,34,45,0,222.296992,,1371,1371,1029.867116,4,8,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Olceclostera angelica (Grote, 1864)",Olceclostera angelica,plants,woody,2,1,32,42,0,40.22314,,645,645,837.0600665,6,7,2,NA,6/30/2017,2017,6,generalist,specialist
Ramsey Rd.,1,6/30/2017,1,"Mythimna unipuncta (Haworth, 1809) ",Mythimna unipuncta,plants,plants,53,16,35,47,0,215.5845222,,16950,16950,16542.87114,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,3,"Epimecis hortaria (Fabricius, 1794) ",Epimecis hortaria,plants,woody,10,5,43,57,0,206.8276448,,4568,4568,3466.42596,3,11,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Nadata gibbosa (J.E.Smith, 1797) ",Nadata gibbosa,plants,woody,14,7,38,59,0,213.1849728,,6069,6069,3064.012419,3,10,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,1,"Hypsopygia olinalis (Guenée, 1854)",Hypsopygia olinalis,plants,woody,3,2,16,24,0,456.744542,0,3663,3663,1067.506979,5,11,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,1,6/30/2017,2,"Blepharomastix ranalis (Guenèe, 1854)",Blepharomastix ranalis,plants,herbaceous,1,1,16,20,0,0,0,1958,1958,954.684498,5,11,7,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,1,6/30/2017,1,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,2,6/30/2017,2,"Halysidota tessellaris (J.E.Smith, 1797)",Halysidota tessellaris,plants,plants,38,22,40,45,0,234.8397807,,12615,12615,5021.52725,3,9,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Eudryas grata (Fabricius, 1793)",Eudryas grata,plants,plants,5,3,35,46,0,202.5765318,,3313,3313,654.1925511,5,9,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Costaconvexa centrostrigaria (Wollaston, 1858) ",Costaconvexa centrostrigaria,plants,herbaceous,3,2,17,23,0,182.3705387,,7078,7078,2297.882414,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,3,"Melanolophia canadaria (Guenée, 1857) ",Melanolophia canadaria,plants,plants,40,26,36,39,0,328.7446519,0,1738,1738,2045.539044,3,11,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Fissicrambus mutabilis (Clemens, 1860)",Fissicrambus mutabilis,plants,herbaceous,9,1,23,24,0,40.96312181,,685,685,1310.278491,5,9,5,NA,6/30/2017,2017,6,generalist,specialist
Ramsey Rd.,2,6/30/2017,3,"Acrolophus popeanella (Clemens, 1859)",Acrolophus popeanella,plants,herbaceous,2,2,25.5,38,0,271.51641,,3344,3344,2245.914321,6,10,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,Phalaenostola eumelusalis (Walker [1859]),Phalaenostola eumelusalis,other,detritivore,NA,NA,25,28,0,NA,detritophagous - not specified,518,518,451.3722816,5,8,4,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,2,6/30/2017,2,"Scolecocampa liburna (Geyer, 1837) ",Scolecocampa liburna,plants,woody,6,6,35,43,0,232.3169363,also detritophagous,1523,1523,4043.829694,6,9,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,9,"Crambus agitatellus Clemens, 1860",Crambus agitatellus,plants,herbaceous,NA,NA,17,22,0,NA,no host plant genera specified,4304,4304,621.9317247,5,9,5,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,2,6/30/2017,1,"Parapediasia decorellus (Zincken, 1821)",Parapediasia decorellus,plants,herbaceous,NA,NA,19,27,0,NA,no host plant genera specified,296,296,418.1804386,6,8,3,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,2,6/30/2017,1,"Blepharomastix ranalis (Guenèe, 1854)",Blepharomastix ranalis,plants,herbaceous,1,1,16,20,0,0,0,1958,1958,954.684498,5,11,7,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,2,6/30/2017,1,"Automeris io (Fabricus, 1775)",Automeris io,plants,plants,123,60,50,80,0,251.7632765,,8556,8556,4569.38808,2,10,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Scopula limboundata (Haworth, 1809) ",Scopula limboundata,plants,plants,19,12,20,31,0,224.4501324,,6874,6874,989.2983708,5,12,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Parallelia bistriaris Hübner, 1818 ",Parallelia bistriaris,plants,woody,4,4,33,43,0,214.0484653,0,3096,3096,577.5179887,2,9,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,2,"Heterocampa obliqua Packard, 1864 ",Heterocampa obliqua,plants,woody,1,1,37,53,0,0,,826,826,554.9071876,5,8,4,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,2,6/30/2017,1,"Acronicta retardata (Walker, 1861)",Acronicta retardata,plants,woody,4,4,25,32,0,216.50414,,629,629,561.8468871,5,8,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Polygrammate hebraeicum Hübner, 1818",Polygrammate hebraeicum,plants,woody,2,2,23,39,0,229.133165,0,2536,2536,342.5868737,4,8,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Olethreutes nigranum (Heinrich, 1923)",Olethreutes nigranum,plants,woody,3,3,17,22,0,235.2960967,,135,135,207.6969782,7,7,1,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,2,"Hyperstrotia nana Hübner, 1827 ",Hyperstrotia nana,plants,woody,4,3,20,20,0,180.5042277,0,342,342,341.0653445,5,8,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,2,6/30/2017,1,"Baileya australis (Grote, 1881)",Baileya australis,plants,woody,1,1,21,28,0,0,,652,652,409.9936341,4,9,6,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,2,6/30/2017,1,"Renia flavipunctalis (Geyer, 1832)",Renia flavipunctalis,other,detritivore,NA,NA,26,31,0,NA,detritivore,952,952,1083.178049,6,9,4,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,2,6/30/2017,2,"Anageshna primordialis (Dyar, 1907)",Anageshna primordialis,plants,woody,1,1,12,15,0,0,,2364,2364,894.6391327,5,10,6,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,2,6/30/2017,1,"Chionodes mediofuscella Clemens, 1863",Chionodes mediofuscella,plants,herbaceous,1,1,10,16,0,0,,1757,1757,1603.904188,3,9,7,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,2,6/30/2017,1,"Parectopa bumeliella Braun, 1939",Parectopa bumeliella,plants,woody,1,1,5,7,0,0,,6,6,56.06034184,NA,NA,NA,no adult observations in the mid-atlantic,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,3,6/30/2017,3,"Halysidota tessellaris (J.E.Smith, 1797)",Halysidota tessellaris,plants,plants,38,22,40,45,0,234.8397807,,12615,12615,5021.52725,3,9,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Eudryas grata (Fabricius, 1793)",Eudryas grata,plants,plants,5,3,35,46,0,202.5765318,,3313,3313,654.1925511,5,9,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,3,"Costaconvexa centrostrigaria (Wollaston, 1858) ",Costaconvexa centrostrigaria,plants,herbaceous,3,2,17,23,0,182.3705387,,7078,7078,2297.882414,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Abagrotis anchocelioides (Guenee, 1852) ",Abagrotis anchocelioides,plants,plants,3,3,37,37,0,245.8382327,,72,72,198.096228,NA,NA,NA,no adult observations in the mid-atlantic,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Hyalophora cecropia (Linnaeus, 1758)",Hyalophora cecropia,plants,plants,80,44,110,150,0,283.333087,,4733,4733,1692.695506,3,9,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,10,"Acrolophus popeanella (Clemens, 1859)",Acrolophus popeanella,plants,herbaceous,2,2,25.5,38,0,271.51641,,3344,3344,2245.914321,6,10,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Autographa precationis (Guenée, 1852) ",Autographa precationis,plants,plants,20,13,30,38,0,210.5737524,0,2916,2916,1498.554903,4,11,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,Phalaenostola eumelusalis (Walker [1859]),Phalaenostola eumelusalis,other,detritivore,NA,NA,25,28,0,NA,detritophagous - not specified,518,518,451.3722816,5,8,4,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,1,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,1,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,1,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,2,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,1,"Scolecocampa liburna (Geyer, 1837) ",Scolecocampa liburna,plants,woody,6,6,35,43,0,232.3169363,also detritophagous,1523,1523,4043.829694,6,9,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Cycnia tenera Hubner, 1818",Cycnia tenera,plants,herbaceous,2,2,30,40,0,43.788885,,3094,3094,904.1423766,4,10,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,31,"Crambus agitatellus Clemens, 1860",Crambus agitatellus,plants,herbaceous,NA,NA,17,22,0,NA,no host plant genera specified,4304,4304,621.9317247,5,9,5,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,1,"Microcrambus elegans (Clemens, 1860)",Microcrambus elegans,other,generalist,1,1,12,15,0,NA,also detritophagous,5694,5694,2687.294046,5,10,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Desmia funeralis (Hübner, 1796)",Desmia funeralis,plants,woody,4,3,NA,NA,0,217.8536032,0,2715,2715,4996.014019,2,9,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Hypena scabra Fabricius, 1798",Hypena scabra,plants,plants,43,21,25,35,0,227.1414032,,11679,11679,1154.857177,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Phobetron pithecium (Smith, 1797) ",Phobetron pithecium,plants,woody,18,11,20,28,0,223.0579561,,672,672,1903.737582,5,8,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Blepharomastix ranalis (Guenèe, 1854)",Blepharomastix ranalis,plants,herbaceous,1,1,16,20,0,0,0,1958,1958,954.684498,5,11,7,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,3,6/30/2017,3,"Automeris io (Fabricus, 1775)",Automeris io,plants,plants,123,60,50,80,0,251.7632765,,8556,8556,4569.38808,2,10,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Scopula limboundata (Haworth, 1809) ",Scopula limboundata,plants,plants,19,12,20,31,0,224.4501324,,6874,6874,989.2983708,5,12,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Noctua pronuba (Linnaeus, 1758)",Noctua pronuba,plants,plants,17,14,50,60,1,243.3017215,,320498,100000,6439.634797,3,11,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Speranza pustularia (Guenée, [1858])",Speranza pustularia,plants,woody,8,6,18,27,0,437.5198807,0,5415,5415,609.7300142,5,10,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Taygete attributella (Walker, 1864)",Taygete attributella,unknown,unknown,NA,NA,10,10,0,NA,unknown host plant,418,418,763.0257527,6,9,4,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,3,6/30/2017,1,"Argyrotaenia velutinana (Walker, 1863)",Argyrotaenia velutinana,plants,plants,38,24,11,18,0,328.4830992,,2371,2371,991.9245021,1,10,10,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Panopoda rufimargo (Hübner, 1818) ",Panopoda rufimargo,plants,woody,5,4,40,46,0,180.5767034,0,3052,3052,2054.146423,2,8,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Acronicta retardata (Walker, 1861)",Acronicta retardata,plants,woody,4,4,25,32,0,216.50414,,629,629,561.8468871,5,8,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Orthodes majuscula Herrich-Schäffer, 1868",Orthodes majuscula,plants,plants,13,11,28,35,0,214.6628399,0,877,877,2684.594261,4,10,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Polygrammate hebraeicum Hübner, 1818",Polygrammate hebraeicum,plants,woody,2,2,23,39,0,229.133165,0,2536,2536,342.5868737,4,8,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Lochmaeus manteo Doubleday, 1841 ",Lochmaeus manteo,plants,woody,14,9,37,50,0,220.1823471,,718,718,724.8013548,6,10,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,2,"Bleptina caradrinalis Guenée, 1854",Bleptina caradrinalis,plants,plants,5,5,22,32,0,243.6209948,also says detritophagous,2860,2860,2166.099861,5,11,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,3,6/30/2017,1,"Udea rubigalis (Guenee, 1854)",Udea rubigalis,plants,plants,34,16,16,20,0,220.9312483,,6564,6564,1467.527934,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Pelochrista cataclystiana (Walker, 1863)",Pelochrista cataclystiana,plants,herbaceous,3,1,16,16,0,32.607184,,294,294,1031.961745,6,10,5,NA,6/30/2017,2017,6,generalist,specialist
Ramsey Rd.,4,6/30/2017,10,"Halysidota tessellaris (J.E.Smith, 1797)",Halysidota tessellaris,plants,plants,38,22,40,45,0,234.8397807,,12615,12615,5021.52725,3,9,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,2,"Eudryas grata (Fabricius, 1793)",Eudryas grata,plants,plants,5,3,35,46,0,202.5765318,,3313,3313,654.1925511,5,9,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Abagrotis anchocelioides (Guenee, 1852) ",Abagrotis anchocelioides,plants,plants,3,3,37,37,0,245.8382327,,72,72,198.096228,NA,NA,NA,no adult observations in the mid-atlantic,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,2,"Melanolophia canadaria (Guenée, 1857) ",Melanolophia canadaria,plants,plants,40,26,36,39,0,328.7446519,0,1738,1738,2045.539044,3,11,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Chionodes thoraceochrella (Chambers, 1872)",Chionodes thoraceochrella,plants,woody,4,4,10,12,0,242.387948,,838,838,707.6196973,6,11,6,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Pleuroprucha insulsaria (Guenée, 1857) ",Pleuroprucha insulsaria,plants,plants,33,13,14,20,0,215.6324461,0,4536,4536,2426.281169,5,11,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Renia discoloralis Guenée, 1854",Renia discoloralis,other,detritivore,NA,NA,35,45,0,NA,detritivore,832,832,901.7049352,5,10,6,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,4,6/30/2017,1,"Glaphyria glaphyralis (Guenee, 1854)",Glaphyria glaphyralis,unknown,unknown,NA,NA,15,18,0,NA,unknown host plant,227,227,384.3545767,6,8,3,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,4,6/30/2017,20,"Crambus agitatellus Clemens, 1860",Crambus agitatellus,plants,herbaceous,NA,NA,17,22,0,NA,no host plant genera specified,4304,4304,621.9317247,5,9,5,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,4,6/30/2017,1,"Condylolomia participialis Grote, 1873",Condylolomia participialis,plants,woody,1,1,12,15,0,0,,789,789,293.0731485,6,8,3,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,4,6/30/2017,1,"Automeris io (Fabricus, 1775)",Automeris io,plants,plants,123,60,50,80,0,251.7632765,,8556,8556,4569.38808,2,10,9,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,5,"Heterocampa obliqua Packard, 1864 ",Heterocampa obliqua,plants,woody,1,1,37,53,0,0,,826,826,554.9071876,5,8,4,NA,6/30/2017,2017,6,specialist,specialist
Ramsey Rd.,4,6/30/2017,1,"Isa textula (Herrich-Schäffer, 1854) ",Isa textula,plants,woody,12,9,17,25,0,215.6075238,0,1043,1043,478.4663297,6,8,3,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Callopistria mollissima (Guenée, 1852)",Callopistria mollissima,plants,herbaceous,3,3,21,27,0,NA,"only eats ferns, not in phylogenetic tree",1160,1160,547.0136431,5,9,5,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,2,"Nemoria bistriaria Hübner, 1818 ",Nemoria bistriaria,plants,plants,10,7,22,25,0,224.839981,0,1869,1869,867.8888922,3,10,8,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,1,"Panopoda rufimargo (Hübner, 1818) ",Panopoda rufimargo,plants,woody,5,4,40,46,0,180.5767034,0,3052,3052,2054.146423,2,8,7,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,2,"Acronicta retardata (Walker, 1861)",Acronicta retardata,plants,woody,4,4,25,32,0,216.50414,,629,629,561.8468871,5,8,4,NA,6/30/2017,2017,6,generalist,generalist
Ramsey Rd.,4,6/30/2017,2,"Acrolophus panamae Busck, 1914",Acrolophus panamae,plants,herbaceous,NA,NA,10,17,0,NA,no host plant genera specified,325,325,512.127291,6,8,3,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,4,6/30/2017,1,"Crambidia pallida Packard, 1864",Crambidia pallida,other,other,NA,NA,19,25,0,NA,algivore,1344,1344,696.5845348,6,9,4,NA,6/30/2017,2017,6,NA,NA
Ramsey Rd.,4,6/30/2017,1,"Renia flavipunctalis (Geyer, 1832)",Renia flavipunctalis,other,detritivore,NA,NA,26,31,0,NA,detritivore,952,952,1083.178049,6,9,4,NA,6/30/2017,2017,6,NA,NA
Creek Road,5,6/30/2017,1,"Eudryas grata (Fabricius, 1793)",Eudryas grata,plants,plants,5,3,35,46,0,202.5765318,,3313,3313,654.1925511,5,9,5,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,3,"Costaconvexa centrostrigaria (Wollaston, 1858) ",Costaconvexa centrostrigaria,plants,herbaceous,3,2,17,23,0,182.3705387,,7078,7078,2297.882414,1,12,12,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,1,"Abagrotis anchocelioides (Guenee, 1852) ",Abagrotis anchocelioides,plants,plants,3,3,37,37,0,245.8382327,,72,72,198.096228,NA,NA,NA,no adult observations in the mid-atlantic,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,2,"Melanolophia canadaria (Guenée, 1857) ",Melanolophia canadaria,plants,plants,40,26,36,39,0,328.7446519,0,1738,1738,2045.539044,3,11,9,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,2,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/30/2017,2017,6,NA,NA
Creek Road,5,6/30/2017,3,"Macaria aemulataria Walker, 1861",Macaria aemulataria,plants,plants,9,7,22,28,0,224.9807757,,1620,1620,2864.804775,3,9,7,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,1,"Anavitrinella pampinaria (Guenée, 1857) ",Anavitrinella pampinaria,plants,plants,55,32,23,34,0,313.8709639,0,3743,3743,1398.953416,2,9,8,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,1,"Idia aemula Hubner, 1805",Idia aemula,plants,plants,7,5,20,30,0,453.5121465,also says detritophagous,7217,7217,1774.490959,4,11,8,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,1,"Pleuroprucha insulsaria (Guenée, 1857) ",Pleuroprucha insulsaria,plants,plants,33,13,14,20,0,215.6324461,0,4536,4536,2426.281169,5,11,7,NA,6/30/2017,2017,6,generalist,generalist
Creek Road,5,6/30/2017,5,"Crambus agitatellus Clemens, 1860",Crambus agitatellus,plants,herbaceous,NA,NA,17,22,0,NA,no host plant genera specified,4304,4304,621.9317247,5,9,5,NA,6/30/2017,2017,6,NA,NA
