"","plot","year","specialist_abundance","generalist_abundance","other_abundance","total_abundance","specialist_richness","generalist_richness","other_richness","total_richness","specialist_biomass","generalist_biomass","other_biomass","total_biomass","specialist_family_richness","generalist_family_richness","other_family_richness","total_family_richness","specialist_family_abundance","generalist_family_abundance","other_family_abundance","total_family_abundance","specialist_family_biomass","generalist_family_biomass","other_family_biomass","total_family_biomass","plotID","site","siteID.x","total_basal","genera_richness","keystone_basal","productivity_index","productivity","siteID.y","site_name","lat_fixed","long_fixed","imperv_1km_mean","imperv_500m_mean","imperv_100m_mean","imperv_50m_mean","prop_keystone","site_format"
"37",19,2017,2,13,10,25,2,7,4,13,31.059800587,108.558337603,0,139.61813819,2,7,4,13,2,13,10,25,31.059800587,108.558337603,0,139.61813819,19,"19: Chrysler","19",3.9276409422,19,2.405750509,846.4521807644,215.511599257919,"CW19","Chrysler Woods",39.66047,-75.7549,46.1793915040184,65.0378440366973,31.3125,9.6,0.612517932367937," Chrysler"
"38",19,2018,42,39,14,95,8,26,7,41,121.122903662,789.761510282,0,910.884413944,9,25,7,41,44,37,14,95,126.31538755,784.569026394,0,910.884413944,19,"19: Chrysler","19",3.9276409422,19,2.405750509,846.4521807644,215.511599257919,"CW19","Chrysler Woods",39.66047,-75.7549,46.1793915040184,65.0378440366973,31.3125,9.6,0.612517932367937," Chrysler"
"39",20,2017,5,21,14,40,3,8,5,16,34.873262798,170.031566309,13.266356262,218.171185369,3,8,5,16,5,21,14,40,34.873262798,170.031566309,13.266356262,218.171185369,20,"20: Chrysler","20",5.744853049,14,2.887526962,974.334411303,169.601276654518,"CW20","Chrysler Woods",39.65979,-75.7555,45.7673750717978,58.896,11.875,0.7,0.502628515885646," Chrysler"
"40",20,2018,24,59,17,100,10,30,8,48,179.343067784,650.259072645,0,829.602140429,11,29,8,48,25,58,17,100,180.306704496,649.295435933,0,829.602140429,20,"20: Chrysler","20",5.744853049,14,2.887526962,974.334411303,169.601276654518,"CW20","Chrysler Woods",39.65979,-75.7555,45.7673750717978,58.896,11.875,0.7,0.502628515885646," Chrysler"
"41",21,2017,10,46,7,63,7,25,6,38,143.058763404,734.890047984,52.425051857,930.373863245,13,19,6,38,17,39,7,63,251.061656117,626.887155271,52.425051857,930.373863245,21,"21 : Tallamy Homestead","21",1.78866519,29,1.426437211,686.88276971,384.019755933194,"TH21","Tallamy Homestead",39.72954,-75.8993,0.851320321469575,1.01487414187643,0.28125,0.7,0.797486985812029,": Tallamy Homestead"
"42",21,2018,25,116,17,158,13,60,10,83,182.110883992,2198.960771096,0,2381.071655088,21,52,10,83,37,104,17,158,1038.172447876,1342.899207212,0,2381.071655088,21,"21 : Tallamy Homestead","21",1.78866519,29,1.426437211,686.88276971,384.019755933194,"TH21","Tallamy Homestead",39.72954,-75.8993,0.851320321469575,1.01487414187643,0.28125,0.7,0.797486985812029,": Tallamy Homestead"
"43",22,2017,19,120,16,155,9,51,9,69,293.502251137,1441.550179158,70.796167981,1805.848598276,14,46,9,69,24,115,16,155,381.190551256,1353.861879039,70.796167981,1805.848598276,22,"22 : Tallamy Homestead","22",1.289413539,24,0.574342835,347.040694526,269.146153680956,"TH22","Tallamy Homestead",39.72958,-75.8986,0.911537360435156,1.03908045977011,0.2,0,0.445429505452091,": Tallamy Homestead"
"44",22,2018,13,103,12,128,4,55,10,69,82.981704772,2513.846505051,0,2596.828209823,11,48,10,69,22,94,12,128,146.388569196,2450.439640627,0,2596.828209823,22,"22 : Tallamy Homestead","22",1.289413539,24,0.574342835,347.040694526,269.146153680956,"TH22","Tallamy Homestead",39.72958,-75.8986,0.911537360435156,1.03908045977011,0.2,0,0.445429505452091,": Tallamy Homestead"
"45",23,2017,14,75,11,100,6,37,7,50,295.237522473,1184.381054501,74.11536158,1553.733938554,9,34,7,50,19,70,11,100,396.45365093,1083.164926044,74.11536158,1553.733938554,23,"23 : Tallamy Homestead","23",2.634154623,31,1.821088293,893.192020058,339.08108972007,"TH23","Tallamy Homestead",39.7299,-75.8983,0.919816723940435,1.15481651376147,0.0277777777777778,0,0.69133690068884,": Tallamy Homestead"
"46",23,2018,15,128,16,159,7,72,9,88,143.216257214,2148.037211558,0,2291.253468772,12,67,9,88,23,120,16,159,234.245485212,2057.00798356,0,2291.253468772,23,"23 : Tallamy Homestead","23",2.634154623,31,1.821088293,893.192020058,339.08108972007,"TH23","Tallamy Homestead",39.7299,-75.8983,0.919816723940435,1.15481651376147,0.0277777777777778,0,0.69133690068884,": Tallamy Homestead"
"47",24,2017,18,128,28,174,10,56,13,79,96.169820512,1705.060739394,160.778218718,1962.008778624,14,52,13,79,24,122,28,174,253.123482038,1548.107077868,160.778218718,1962.008778624,24,"24 : Tallamy Homestead","24",2.276454353,15,1.82993023,737.299290463,323.880551126078,"TH-24","Tallamy Homestead",39.73001,-75.8977,0.934116299054712,1.21510297482838,0,0,0.803851053542298,": Tallamy Homestead"
"48",24,2018,22,202,38,262,12,70,18,100,239.761983345,3242.299459795,0,3482.06144314,19,63,18,100,41,183,38,262,843.307476559,2638.753966581,0,3482.06144314,24,"24 : Tallamy Homestead","24",2.276454353,15,1.82993023,737.299290463,323.880551126078,"TH-24","Tallamy Homestead",39.73001,-75.8977,0.934116299054712,1.21510297482838,0,0,0.803851053542298,": Tallamy Homestead"
